Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total number of Accidents,119
Amritsar,Traffic Control,Flashing Signal/Blinker,Greviously Injured,5
Amritsar,Traffic Control,Flashing Signal/Blinker,Minor Injury,7
Amritsar,Traffic Control,Flashing Signal/Blinker,Persons Killed,13
Amritsar,Traffic Control,Flashing Signal/Blinker,Total Injured,12
Amritsar,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0
Amritsar,Traffic Control,Others,Greviously Injured,19
Amritsar,Traffic Control,Others,Minor Injury,8
Amritsar,Traffic Control,Others,Persons Killed,29
Amritsar,Traffic Control,Others,Total Injured,27
